ID,Education,Experience,Position,Employment Status,Base Salary,Salary + Equity + Bonus,Currency Code,Base in USD,TTP in USD,Hourly Wage,What is your current hourly rate? ,What is the currency of your compensation? (Please use 3 letter format) ,Int't - COLI,US - COLI,Merged COLI,"Adjusted
Base USD",Adjusted TTP USD,Equity,Equity Value,USD salary - current,USD salart - last year,"What is your current annual salary in CAD before taxes? (Not including bonuses, stock options, or other benefits)","What was your annual salary in CAD before taxes this time last year? (Not including bonuses, stock options, or other benefits)","What is your current annual salary in EUR before taxes? (Not including bonuses, stock options, or other benefits)","What was your annual salary in EUR before taxes this time last year? (Not including bonuses, stock options, or other benefits)",What is your local currency?,"What is your current annual salary in {{field:7d458495-8fa9-484b-b039-e029a209442d}} before taxes? (Not including bonuses, stock options, or other benefits)","What was your annual salary in {{field:7d458495-8fa9-484b-b039-e029a209442d}} before taxes this time last year? (Not including bonuses, stock options, or other benefits)",Will you be receiving a bonus this year?,"If all things went well and you were to receive your full bonus for this year, approximately what would the value be in {{field:7d458495-8fa9-484b-b039-e029a209442d}}? (If you aren't sure feel free to skip)",Company Type,Company Type,Industry,Industry,Team Size,Residence - Country,City of Residence,State of Residence,Residence - Undefined,Residence - Lat,Residence - Long,latlng,Residence - Undef.,Residence - Metro,Residence - Country,Office - Same City,Office - Country,Office - Undefined,Office - Lat,Office - Long,Office - LatLng,Office - Metro,Office - Country Clean,Gender,Under-represented
52,Master's Degree,Between 6 and 10 years,Senior UX Researcher,Employed - Part time,46000,46000,EUR,"$56,580","$56,580",FALSE,,EUR,84.89,,84.891625,"$66,650","$66,650",,,,,,,46000,50000,,,,FALSE,,Large Enterprise (201+),Large Enterprise (201+),Mobility,Transit,2 to 4,The Netherlands,,,,52.075925,4.314031,"52.075925,4.314031",,The Hague,Netherlands,FALSE,The Netherlands,,52.362348,4.878173,"52.362348,4.878173",Tenzing Domain,Netherlands,Woman,FALSE
64,"Doctorate (e.g., PhD, EdD)",Between 1 and 3 years,UX Researcher,Employed - Full time,85000,85000,CAD,"$66,300","$66,300",FALSE,,CAD,76.08,,76.08,"$87,145","$87,145",FALSE,,,,85000,40000,,,,,,FALSE,,Small / Medium-sized Business (greater than 50 but less than 200),Medium-Sized Business (50-200),Digital Health,Healthcare & Wellness,5 to 9,canada,,,,43.581042,-79.668576,"43.581042,-79.668576",,Toronto,Canada,FALSE,canada,,45.470412,-75.705585,"45.470412,-75.705585",Outaouais,Canada,Prefer not to answer,FALSE
72,Bachelor's Degree,Between 3 and 6 years,UX Researcher,Employed - Full time,37100,37100,ZAR,"$2,523","$2,523",FALSE,,ZAR,42.68,,42.679,"$5,911","$5,911",FALSE,,,,,,,,,37100,35000,FALSE,,Agency,Agency,Software,Software,1,South Africa,,,,-33.964205,18.588976,"-33.964205,18.588976",,Elsiesrivier,South Africa,FALSE,South Africa,,-33.9321,18.8602,"-33.9321,18.8602",Stellenbosch,South Africa,Woman,FALSE
75,Bachelor's Degree,More than 10 years,UX Research Lead,Employed - Full time,67000,67000,USD,"$67,000","$67,000",FALSE,,USD,31.4,,31.4,"$213,376","$213,376",TRUE,20000,67000,67000,,,,,,,,FALSE,,Early Stage Startup (<50 people),Small Business (<50),Finance,Finance & Insurance,2 to 4,Brazil,,,,-30.068411,-51.177101,"-30.068411,-51.177101",,Porto Alegre,Brazil,FALSE,Amsterdam,,52.3676,4.9041,"52.3676,4.9041",Binnenstad,Netherlands,Man,FALSE
87,Postgraduate,Between 3 and 6 years,UX Researcher,Employed - Full time,50000,50000,GBP,"$68,000","$68,000",FALSE,,GBP,74.70,,74.699625,"$91,031","$91,031",FALSE,,,,,,,,,50000,45000,FALSE,,Large Enterprise (201+),Large Enterprise (201+),Energy,Utilities & Public Services,10 to 14,UK,,,,51.902528,-2.050016,"51.902528,-2.050016",,Charlton Kings,United Kingdom,FALSE,UK,,51.470587,-2.597863,"51.470587,-2.597863",Bristol,United Kingdom,Woman,TRUE
88,Bachelor's Degree,Between 3 and 6 years,Junior/Associate UX Researcher,Employed - Full time,60000,60000,CAD,"$46,800","$46,800",FALSE,,CAD,76.08,,76.08,"$61,514","$61,514",,,,,60000,55000,,,,,,FALSE,,Large Enterprise (201+),Large Enterprise (201+),Gaming,Leisure & Hospitality,10 to 14,canada,,,,43.714717,-79.384813,"43.714717,-79.384813",,Toronto,Canada,FALSE,canada,,43.714717,-79.384813,"43.714717,-79.384813",Toronto,Canada,Woman,FALSE
90,Master's Degree,Between 3 and 6 years,Principal Researcher,Employed - Full time,72000,79200,EUR,"$88,560","$97,416",FALSE,,EUR,82.71,,82.707625,"$107,076","$117,784",FALSE,,,,,,72000,72000,,,,TRUE,7200,Large Enterprise (201+),Large Enterprise (201+),Software,Software,1,Finland,,,,60.220073,24.972918,"60.220073,24.972918",,Veräjämäki,Finland,FALSE,USA,,30.326374,-97.771258,"30.326374,-97.771258","Austin-Round Rock-Georgetown, TX",United States,Woman,FALSE
96,Master's Degree,Between 1 and 3 years,UX Researcher,Employed - Part time,30000,30200,EUR,"$36,900","$37,146",FALSE,,EUR,84.89,,84.891625,"$43,467","$43,757",,,,,,,30000,28000,,,,TRUE,200,Agency,Agency,Software,Software,2 to 4,Netherlands,,,,51.912065,4.505016,"51.912065,4.505016",,Kop van Zuid,Netherlands,FALSE,Netherlands,,51.912065,4.505016,"51.912065,4.505016",Kop van Zuid,Netherlands,Woman,FALSE
107,Bachelor's Degree,Between 1 and 3 years,UX Researcher,Employed - Full time,80000,80000,CAD,"$62,400","$62,400",FALSE,,CAD,75.28,,75.27975,"$82,891","$82,891",FALSE,,,,80000,80000,,,,,,FALSE,,Small / Medium-sized Business (greater than 50 but less than 200),Medium-Sized Business (50-200),Finance,Finance & Insurance,2 to 4,Canada,,,,49.243481,-122.975469,"49.243481,-122.975469",,Lower Mainland--Southwest / Lower Mainland--Sud-ouest,Canada,FALSE,Canada,,49.25559,-123.099057,"49.25559,-123.099057",Lower Mainland--Southwest / Lower Mainland--Sud-ouest,Canada,Woman,TRUE
118,Master's Degree,Between 1 and 3 years,UX Researcher,Employed - Full time,36000,36000,GBP,"$48,960","$48,960",FALSE,,GBP,66.81,,66.81,"$73,282","$73,282",TRUE,0,,,,,,,,36000,36000,FALSE,,Large Enterprise (201+),Large Enterprise (201+),Retail,Retail,1,UK,,,,50.740724,-1.876613,"50.740724,-1.876613",,Bournemouth,United Kingdom,FALSE,UK,,51.518155,-0.133016,"51.518155,-0.133016",Russell Square,United Kingdom,Woman,FALSE
129,Postgraduate,Between 1 and 3 years,UX Researcher,Employed - Full time,65000,68000,CAD,"$50,700","$53,040",FALSE,,CAD,76.08,,76.08,"$66,640","$69,716",,,,,65000,0,,,,,,TRUE,3000,Small / Medium-sized Business (greater than 50 but less than 200),Medium-Sized Business (50-200),Software,Software,2 to 4,Canada,,,,43.714717,-79.384813,"43.714717,-79.384813",,Toronto,Canada,FALSE,Canada,,43.760456,-79.153438,"43.760456,-79.153438",Toronto,Canada,Man,FALSE
135,Bachelor's Degree,Between 3 and 6 years,UX Researcher,Employed - Full time,90000,90000,CAD,"$70,200","$70,200",FALSE,,CAD,76.08,,76.08,"$92,271","$92,271",TRUE,,,,90000,80000,,,,,,FALSE,,Large Enterprise (201+),Large Enterprise (201+),Education,Education,2 to 4,Canada,,,,43.714717,-79.384813,"43.714717,-79.384813",,Toronto,Canada,FALSE,Canada,,43.714717,-79.384813,"43.714717,-79.384813",Toronto,Canada,Woman,TRUE
