ID,Education,Experience,Position,Employment Status,Base Salary,Salary + Equity + Bonus,Currency Code,Base in USD,TTP in USD,Hourly Wage,What is your current hourly rate? ,What is the currency of your compensation? (Please use 3 letter format) ,Int't - COLI,US - COLI,Merged COLI,"Adjusted
Base USD",Adjusted TTP USD,Equity,Equity Value,USD salary - current,USD salart - last year,"What is your current annual salary in CAD before taxes? (Not including bonuses, stock options, or other benefits)","What was your annual salary in CAD before taxes this time last year? (Not including bonuses, stock options, or other benefits)","What is your current annual salary in EUR before taxes? (Not including bonuses, stock options, or other benefits)","What was your annual salary in EUR before taxes this time last year? (Not including bonuses, stock options, or other benefits)",What is your local currency?,"What is your current annual salary in {{field:7d458495-8fa9-484b-b039-e029a209442d}} before taxes? (Not including bonuses, stock options, or other benefits)","What was your annual salary in {{field:7d458495-8fa9-484b-b039-e029a209442d}} before taxes this time last year? (Not including bonuses, stock options, or other benefits)",Will you be receiving a bonus this year?,"If all things went well and you were to receive your full bonus for this year, approximately what would the value be in {{field:7d458495-8fa9-484b-b039-e029a209442d}}? (If you aren't sure feel free to skip)",Company Type,Company Type,Industry,Industry,Team Size,Residence - Country,City of Residence,State of Residence,Residence - Undefined,Residence - Lat,Residence - Long,latlng,Residence - Undef.,Residence - Metro,Residence - Country,Office - Same City,Office - Country,Office - Undefined,Office - Lat,Office - Long,Office - LatLng,Office - Metro,Office - Country Clean,Gender,Under-represented
141,Master's Degree,Between 3 and 6 years,UX Research Lead,Employed - Full time,100000,100000,USD,"$100,000","$100,000",FALSE,,USD,,102,102,"$98,039","$98,039",FALSE,,100000,90000,,,,,,,,FALSE,,Large Enterprise (201+),Large Enterprise (201+),Consulting,Professional & Business Services,2 to 4,USA,Chicago,IL,,41.88531,-87.62213,"41.88531,-87.62213",,"Chicago-Naperville-Elgin, IL-IN-WI",United States,FALSE,USA,,38.631501,-90.19231,"38.631501,-90.19231","St. Louis, MO-IL",United States,Man,FALSE
143,Master's Degree,Between 3 and 6 years,UX Researcher,Employed - Full time,78394,78394,USD,"$78,394","$78,394",FALSE,,USD,,113.6,113.6,"$69,009","$69,009",FALSE,,78394,76000,,,,,,,,FALSE,,Non-profit organization,Non-Profit,Education,Education,1,USA,Palmer,AK,,61.59972,-149.11278,"61.59972,-149.11278",,"Anchorage, AK",United States,FALSE,USA,,42.367092,-72.464571,"42.367092,-72.464571","Springfield, MA",United States,Woman,TRUE
144,Master's Degree,Between 1 and 3 years,Senior UX Researcher,Employed - Full time,180000,200000,USD,"$180,000","$200,000",FALSE,,USD,,,,"$180,000","$200,000",FALSE,,180000,180000,,,,,,,,TRUE,20000,Non-profit organization,Non-Profit,Biotech,Biotechnology,10 to 14,USA,san francisco,CA,,37.776646,-122.417481,"37.776646,-122.417481",,"San Francisco-Oakland-Berkeley, CA",United States,FALSE,USA,,37.381144,-122.334825,"37.381144,-122.334825","San Francisco-Oakland-Berkeley, CA",United States,Woman,TRUE
145,Master's Degree,Between 6 and 10 years,Senior UX Researcher,Employed - Full time,130000,130000,USD,"$130,000","$130,000",FALSE,,USD,,116.3,116.3,"$111,780","$111,780",FALSE,,130000,118000,,,,,,,,FALSE,,Small / Medium-sized Business (greater than 50 but less than 200),Medium-Sized Business (50-200),Real Estate,Real Estate,2 to 4,USA,Bend,OR,,44.082037,-121.227125,"44.082037,-121.227125",,"Bend, OR",United States,FALSE,USA,,41.88531,-87.62213,"41.88531,-87.62213","Chicago-Naperville-Elgin, IL-IN-WI",United States,Woman,TRUE
146,Master's Degree,Between 6 and 10 years,UX Research Lead,Employed - Full time,148000,150000,USD,"$148,000","$150,000",TRUE,145000,USD,,131,131,"$112,977","$114,504",TRUE,5000,148000,145000,,,,,,,,TRUE,2000,Small / Medium-sized Business (greater than 50 but less than 200),Medium-Sized Business (50-200),Digital Health,Healthcare & Wellness,1,USA,New York City,NY,,40.750422,-73.996328,"40.750422,-73.996328",,"New York-Newark-Jersey City, NY-NJ-PA",United States,FALSE,USA,,37.776646,-122.417481,"37.776646,-122.417481","San Francisco-Oakland-Berkeley, CA",United States,Woman,TRUE
147,Bachelor's Degree,Between 3 and 6 years,Senior UX Researcher,Employed - Full time,150000,150000,USD,"$150,000","$150,000",FALSE,,USD,,,,"$150,000","$150,000",TRUE,0,150000,135000,,,,,,,,FALSE,,Large Enterprise (201+),Large Enterprise (201+),Software,Software,15+,USA,Mountain View,CA,,37.189396,-121.705327,"37.189396,-121.705327",,"San Jose-Sunnyvale-Santa Clara, CA",United States,FALSE,USA,,37.776646,-122.417481,"37.776646,-122.417481","San Francisco-Oakland-Berkeley, CA",United States,Man,FALSE
148,Master's Degree,Between 3 and 6 years,UX Researcher,Employed - Full time,120000,131000,USD,"$120,000","$131,000",FALSE,,USD,,,,"$120,000","$131,000",TRUE,40000,120000,100000,,,,,,,,TRUE,11000,Large Enterprise (201+),Large Enterprise (201+),Social Media,"Arts, Entertainment, and Recreation",15+,USA,Newark,CA,,37.534102,-122.025352,"37.534102,-122.025352",,"San Francisco-Oakland-Berkeley, CA",United States,FALSE,USA,,37.439616,-122.186373,"37.439616,-122.186373","San Francisco-Oakland-Berkeley, CA",United States,Man,TRUE
149,Master's Degree,Between 3 and 6 years,Director of UX Research,Employed - Full time,220000,253000,USD,"$220,000","$253,000",FALSE,,USD,,,,"$220,000","$253,000",TRUE,16500,220000,193000,,,,,,,,TRUE,33000,Early Stage Startup (<50 people),Small Business (<50),Digital Health,Healthcare & Wellness,1,USA,Oakland,CA,,37.786027,-122.223779,"37.786027,-122.223779",,"San Francisco-Oakland-Berkeley, CA",United States,FALSE,USA,,37.439616,-122.186373,"37.439616,-122.186373","San Francisco-Oakland-Berkeley, CA",United States,Woman,TRUE
150,Master's Degree,Less than 1 year,Junior/Associate UX Researcher,Employed - Full time,87975,87975,USD,"$87,975","$87,975",FALSE,,USD,,123.8,123.8,"$71,062","$71,062",FALSE,,87975,0,,,,,,,,FALSE,,Government,Government,Public Services,Utilities & Public Services,2 to 4,USA,Washington,DC,,38.9072,-77.0369,"38.9072,-77.0369",,"Washington-Arlington-Alexandria, DC-VA-MD-WV",United States,FALSE,USA,,47.432251,-121.803388,"47.432251,-121.803388","Seattle-Tacoma-Bellevue, WA",United States,Woman,TRUE
151,Master's Degree,Between 3 and 6 years,Senior UX Researcher,Employed - Contractor,115000,115000,USD,"$115,000","$115,000",TRUE,60,USD,,91.6,91.6,"$125,546","$125,546",FALSE,,115000,115000,,,,,,,,FALSE,,Large Enterprise (201+),Large Enterprise (201+),Retail,Retail,5 to 9,USA,Columbia,MO,,38.894165,-92.274145,"38.894165,-92.274145",,"Columbia, MO",United States,FALSE,USA,,36.347107,-94.223419,"36.347107,-94.223419","Fayetteville-Springdale-Rogers, AR",United States,Man,FALSE
152,Bachelor's Degree,Between 3 and 6 years,UX Research Lead,Employed - Full time,128000,128000,USD,"$128,000","$128,000",FALSE,,USD,,131,131,"$97,710","$97,710",FALSE,,128000,125000,,,,,,,,TRUE,,Large Enterprise (201+),Large Enterprise (201+),Finance,Finance & Insurance,15+,USA,Brooklyn,NY,,40.645099,-73.945032,"40.645099,-73.945032",,"New York-Newark-Jersey City, NY-NJ-PA",United States,FALSE,USA,,40.750422,-73.996328,"40.750422,-73.996328","New York-Newark-Jersey City, NY-NJ-PA",United States,Woman,TRUE
153,Master's Degree,Between 6 and 10 years,Senior UX Researcher,Employed - Full time,113400,124740,USD,"$113,400","$124,740",FALSE,,USD,,135.3,135.3,"$83,814","$92,195",FALSE,,113400,108000,,,,,,,,TRUE,11340,Small / Medium-sized Business (greater than 50 but less than 200),Medium-Sized Business (50-200),Consulting,Professional & Business Services,15+,USA,Portsmouth,NH,,43.005895,-71.013202,"43.005895,-71.013202",,"Boston-Cambridge-Newton, MA-NH",United States,FALSE,USA,,37.776646,-122.417481,"37.776646,-122.417481","San Francisco-Oakland-Berkeley, CA",United States,Woman,TRUE
154,"Doctorate (e.g., PhD, EdD)",Between 1 and 3 years,UX Researcher,Employed - Full time,128904,153904,USD,"$128,904","$153,904",FALSE,,USD,,129.3,129.3,"$99,694","$119,029",TRUE,128000,128904,125000,,,,,,,,TRUE,25000,Large Enterprise (201+),Large Enterprise (201+),Software,Software,15+,USA,Kirkland,WA,,47.673263,-122.187029,"47.673263,-122.187029",,"Seattle-Tacoma-Bellevue, WA",United States,FALSE,USA,,47.615471,-122.207221,"47.615471,-122.207221","Seattle-Tacoma-Bellevue, WA",United States,Woman,TRUE
155,Master's Degree,Between 1 and 3 years,Junior/Associate UX Researcher,Unemployed,82000,82000,USD,"$82,000","$82,000",FALSE,,USD,,,,"$82,000","$82,000",FALSE,,82000,82000,,,,,,,,FALSE,,Large Enterprise (201+),Large Enterprise (201+),Biotech,Biotechnology,1,USA,Hercules,CA,,38.008343,-122.262101,"38.008343,-122.262101",,"San Francisco-Oakland-Berkeley, CA",United States,FALSE,USA,,36.6844,-121.80217,"36.6844,-121.80217","Salinas, CA",United States,Woman,TRUE
156,Bachelor's Degree,Less than 1 year,Junior/Associate UX Researcher,Employed - Contractor,124000,124000,USD,"$124,000","$124,000",TRUE,62,USD,,,,"$124,000","$124,000",FALSE,,124000,124000,,,,,,,,FALSE,,Large Enterprise (201+),Large Enterprise (201+),Adtech,Advertising,15+,USA,San Jose,CA,,37.189396,-121.705327,"37.189396,-121.705327",,"San Jose-Sunnyvale-Santa Clara, CA",United States,FALSE,USA,,37.189396,-121.705327,"37.189396,-121.705327","San Jose-Sunnyvale-Santa Clara, CA",United States,Woman,TRUE
157,Bachelor's Degree,Between 1 and 3 years,Research Operations,Employed - Full time,51900,51900,USD,"$51,900","$51,900",FALSE,,USD,,95.5,95.5,"$54,346","$54,346",,,51900,51900,,,,,,,,FALSE,,Large Enterprise (201+),Large Enterprise (201+),Education,Education,15+,USA,Westerville,OH,,40.10447,-82.896457,"40.10447,-82.896457",,"Columbus, OH",United States,FALSE,USA,,40.100924,-83.013402,"40.100924,-83.013402","Columbus, OH",United States,Woman,FALSE
158,Master's Degree,Between 6 and 10 years,Senior UX Researcher,Employed - Full time,120000,250000,USD,"$120,000","$250,000",FALSE,,USD,,107.7,107.7,"$111,421","$232,126",FALSE,,120000,135000,,,,,,,,TRUE,130000,Agency,Agency,Consulting,Professional & Business Services,15+,USA,Austin,TX,,30.326374,-97.771258,"30.326374,-97.771258",,"Austin-Round Rock-Georgetown, TX",United States,FALSE,USA,,37.776646,-122.417481,"37.776646,-122.417481","San Francisco-Oakland-Berkeley, CA",United States,Man,FALSE
159,"Doctorate (e.g., PhD, EdD)",Between 1 and 3 years,UX Research Lead,Employed - Full time,175000,206500,USD,"$175,000","$206,500",FALSE,,USD,,,,"$175,000","$206,500",TRUE,398000,175000,175000,,,,,,,,TRUE,31500,Large Enterprise (201+),Large Enterprise (201+),Consumer Electronics,Retail,15+,USA,San Jose,CA,,37.189396,-121.705327,"37.189396,-121.705327",,"San Jose-Sunnyvale-Santa Clara, CA",United States,FALSE,USA,,37.189396,-121.705327,"37.189396,-121.705327","San Jose-Sunnyvale-Santa Clara, CA",United States,Man,FALSE
160,Master's Degree,Between 1 and 3 years,UX Researcher,Employed - Full time,132000,137000,USD,"$132,000","$137,000",FALSE,,USD,,,,"$132,000","$137,000",TRUE,155000,132000,110000,,,,,,,,TRUE,5000,Large Enterprise (201+),Large Enterprise (201+),Software,Software,15+,USA,San Francisco,CA,,37.776646,-122.417481,"37.776646,-122.417481",,"San Francisco-Oakland-Berkeley, CA",United States,FALSE,USA,,37.189396,-121.705327,"37.189396,-121.705327","San Jose-Sunnyvale-Santa Clara, CA",United States,Woman,TRUE
161,"Doctorate (e.g., PhD, EdD)",Between 1 and 3 years,UX Researcher,Employed - Full time,105000,220000,USD,"$105,000","$220,000",FALSE,,USD,,100.2,100.2,"$104,790","$219,561",FALSE,,105000,95000,,,,,,,,TRUE,115000,Agency,Agency,Consulting,Professional & Business Services,15+,USA,Dallas,TX,,32.781179,-96.790329,"32.781179,-96.790329",,"Dallas-Fort Worth-Arlington, TX",United States,FALSE,USA,,40.750422,-73.996328,"40.750422,-73.996328","New York-Newark-Jersey City, NY-NJ-PA",United States,Woman,TRUE
162,Bachelor's Degree,Between 3 and 6 years,UX Engineer,Employed - Full time,140000,140000,USD,"$140,000","$140,000",FALSE,,USD,,106.2,106.2,"$131,827","$131,827",FALSE,,140000,85000,,,,,,,,FALSE,,Agency,Agency,Software,Software,15+,USA,Kingston,NY,,41.96973,-74.06678,"41.96973,-74.06678",,"Kingston, NY",United States,FALSE,USA,TRUE,37.0902,-95.7129,"37.0902,-95.7129","Coffeyville, KS",United States,Woman,TRUE
163,Master's Degree,Between 3 and 6 years,Senior UX Researcher,Employed - Full time,165000,177000,USD,"$165,000","$177,000",FALSE,,USD,,,,"$165,000","$177,000",TRUE,100000,165000,145000,,,,,,,,TRUE,12000,Large Enterprise (201+),Large Enterprise (201+),Software,Software,5 to 9,USA,San Mateo,CA,,37.573485,-122.32253,"37.573485,-122.32253",,"San Francisco-Oakland-Berkeley, CA",United States,FALSE,USA,,37.776646,-122.417481,"37.776646,-122.417481","San Francisco-Oakland-Berkeley, CA",United States,Man,FALSE
164,Master's Degree,Between 1 and 3 years,Junior/Associate UX Researcher,Employed - Contractor,133000,133000,USD,"$133,000","$133,000",TRUE,66,USD,,,,"$133,000","$133,000",FALSE,,133000,7000,,,,,,,,FALSE,,Agency,Agency,Software,Software,10 to 14,USA,Berkeley,CA,,37.860576,-122.29673,"37.860576,-122.29673",,"San Francisco-Oakland-Berkeley, CA",United States,FALSE,USA,,37.189396,-121.705327,"37.189396,-121.705327","San Jose-Sunnyvale-Santa Clara, CA",United States,Woman,TRUE
166,Bachelor's Degree,Less than 1 year,Junior/Associate UX Researcher,Unemployed,65000,65000,USD,"$65,000","$65,000",FALSE,,USD,,,,"$65,000","$65,000",,,65000,,,,,,,,,FALSE,,Small / Medium-sized Business (greater than 50 but less than 200),Medium-Sized Business (50-200),"Retail, Short term housing",Retail,2 to 4,USA,Oakland,CA,,37.786027,-122.223779,"37.786027,-122.223779",,"San Francisco-Oakland-Berkeley, CA",United States,FALSE,USA,,37.776646,-122.417481,"37.776646,-122.417481","San Francisco-Oakland-Berkeley, CA",United States,Woman,FALSE
167,"Doctorate (e.g., PhD, EdD)",Between 3 and 6 years,Quantitative Researcher,Employed - Full time,102000,102000,USD,"$102,000","$102,000",FALSE,,USD,,102,102,"$100,000","$100,000",FALSE,,102000,100000,,,,,,,,FALSE,,Agency,Agency,Consulting,Professional & Business Services,5 to 9,USA,chicago,IL,,41.88531,-87.62213,"41.88531,-87.62213",,"Chicago-Naperville-Elgin, IL-IN-WI",United States,FALSE,USA,,41.88531,-87.62213,"41.88531,-87.62213","Chicago-Naperville-Elgin, IL-IN-WI",United States,Woman,FALSE
168,Bachelor's Degree,Between 1 and 3 years,UX Researcher,Employed - Full time,30000,30000,USD,"$30,000","$30,000",TRUE,15,USD,,131,131,"$22,901","$22,901",FALSE,,30000,,,,,,,,,FALSE,,Early Stage Startup (<50 people),Small Business (<50),Consulting,Professional & Business Services,2 to 4,USA,NYC,NY,,40.750422,-73.996328,"40.750422,-73.996328",,"New York-Newark-Jersey City, NY-NJ-PA",United States,FALSE,USA,TRUE,37.0902,-95.7129,"37.0902,-95.7129","Coffeyville, KS",United States,Woman,FALSE
169,Master's Degree,Between 3 and 6 years,UX Research Lead,Employed - Full time,108150,108150,USD,"$108,150","$108,150",FALSE,,USD,,102,102,"$106,029","$106,029",FALSE,,108150,105000,,,,,,,,FALSE,,Large Enterprise (201+),Large Enterprise (201+),Software,Software,2 to 4,USA,Chicago,IL,,41.88531,-87.62213,"41.88531,-87.62213",,"Chicago-Naperville-Elgin, IL-IN-WI",United States,FALSE,USA,,33.844371,-84.47405,"33.844371,-84.47405","Atlanta-Sandy Springs-Alpharetta, GA",United States,Woman,TRUE
170,Master's Degree,Between 6 and 10 years,Senior UX Researcher,Employed - Full time,175000,205000,USD,"$175,000","$205,000",FALSE,,USD,,,,"$175,000","$205,000",TRUE,50000,175000,161000,,,,,,,,TRUE,30000,Large Enterprise (201+),Large Enterprise (201+),Robotics,Manufacturing,2 to 4,USA,San Francisco,CA,,37.776646,-122.417481,"37.776646,-122.417481",,"San Francisco-Oakland-Berkeley, CA",United States,FALSE,USA,TRUE,37.0902,-95.7129,"37.0902,-95.7129","Coffeyville, KS",United States,Man,FALSE
172,Master's Degree,Between 1 and 3 years,Junior/Associate UX Researcher,Employed - Contractor,110240,110240,USD,"$110,240","$110,240",TRUE,53,USD,,,,"$110,240","$110,240",FALSE,,110240,107120,,,,,,,,FALSE,,Agency,Agency,Gaming,Leisure & Hospitality,15+,USA,San Francisco,CA,,37.776646,-122.417481,"37.776646,-122.417481",,"San Francisco-Oakland-Berkeley, CA",United States,FALSE,USA,,37.189396,-121.705327,"37.189396,-121.705327","San Jose-Sunnyvale-Santa Clara, CA",United States,Man,FALSE
174,Bachelor's Degree,Between 1 and 3 years,Junior/Associate UX Researcher,Employed - Contractor,90000,90000,USD,"$90,000","$90,000",TRUE,45,USD,,,,"$90,000","$90,000",FALSE,,90000,90000,,,,,,,,FALSE,,Large Enterprise (201+),Large Enterprise (201+),Finance,Finance & Insurance,5 to 9,USA,Mountain View,CA,,37.189396,-121.705327,"37.189396,-121.705327",,"San Jose-Sunnyvale-Santa Clara, CA",United States,FALSE,USA,,37.776646,-122.417481,"37.776646,-122.417481","San Francisco-Oakland-Berkeley, CA",United States,Man,TRUE
175,Master's Degree,Between 1 and 3 years,UX Researcher,Employed - Full time,85000,85000,USD,"$85,000","$85,000",FALSE,,USD,,107.7,107.7,"$78,923","$78,923",FALSE,,85000,82000,,,,,,,,TRUE,,Agency,Agency,Software,Software,2 to 4,USA,Austin,TX,,30.326374,-97.771258,"30.326374,-97.771258",,"Austin-Round Rock-Georgetown, TX",United States,FALSE,USA,,29.813142,-95.309789,"29.813142,-95.309789","Houston-The Woodlands-Sugar Land, TX",United States,Woman,FALSE
176,"Doctorate (e.g., PhD, EdD)",Between 3 and 6 years,UX Researcher,Employed - Full time,78000,78000,USD,"$78,000","$78,000",FALSE,,USD,,94.9,94.9,"$82,192","$82,192",,,78000,76000,,,,,,,,TRUE,,Large Enterprise (201+),Large Enterprise (201+),Software,Software,1,USA,Greenville,SC,,34.848567,-82.402871,"34.848567,-82.402871",,"Greenville-Anderson, SC",United States,FALSE,USA,,34.205933,-79.82626,"34.205933,-79.82626","Florence, SC",United States,Woman,FALSE
177,Bachelor's Degree,Between 1 and 3 years,UX Researcher,Employed - Full time,130000,130000,USD,"$130,000","$130,000",FALSE,,USD,,,,"$130,000","$130,000",FALSE,,130000,125000,,,,,,,,FALSE,,Large Enterprise (201+),Large Enterprise (201+),Software,Software,15+,USA,San Jose,CA,,37.189396,-121.705327,"37.189396,-121.705327",,"San Jose-Sunnyvale-Santa Clara, CA",United States,FALSE,USA,,37.189396,-121.705327,"37.189396,-121.705327","San Jose-Sunnyvale-Santa Clara, CA",United States,Prefer not to answer,TRUE
180,Master's Degree,Between 6 and 10 years,Senior UX Researcher,Employed - Full time,168000,193000,USD,"$168,000","$193,000",FALSE,,USD,,131,131,"$128,244","$147,328",TRUE,177000,168000,155870,,,,,,,,TRUE,25000,Large Enterprise (201+),Large Enterprise (201+),Software,Software,15+,USA,New York,NY,,40.750422,-73.996328,"40.750422,-73.996328",,"New York-Newark-Jersey City, NY-NJ-PA",United States,FALSE,USA,,37.189396,-121.705327,"37.189396,-121.705327","San Jose-Sunnyvale-Santa Clara, CA",United States,Man,FALSE
183,Master's Degree,Between 1 and 3 years,Senior UX Content Strategist,Employed - Contractor,124800,124800,USD,"$124,800","$124,800",TRUE,60,USD,,100.2,100.2,"$124,551","$124,551",FALSE,,124800,60000,,,,,,,,FALSE,,Large Enterprise (201+),Large Enterprise (201+),Finance,Finance & Insurance,10 to 14,USA,Arlington,TX,,32.635563,-97.148829,"32.635563,-97.148829",,"Dallas-Fort Worth-Arlington, TX",United States,FALSE,USA,,38.946658,-76.674494,"38.946658,-76.674494","Baltimore-Columbia-Towson, MD",United States,Woman,TRUE
185,Bachelor's Degree,More than 10 years,UX MANAGER,Employed - Full time,126000,139000,USD,"$126,000","$139,000",FALSE,,USD,,107.7,107.7,"$116,992","$129,062",TRUE,25000,126000,126000,,,,,,,,TRUE,13000,Large Enterprise (201+),Large Enterprise (201+),Software,Software,2 to 4,USA,Austin,TX,,30.326374,-97.771258,"30.326374,-97.771258",,"Austin-Round Rock-Georgetown, TX",United States,FALSE,USA,,34.4208,-119.6982,"34.4208,-119.6982","Santa Maria-Santa Barbara, CA",United States,Woman,FALSE
186,Master's Degree,Between 3 and 6 years,UX Research Manager,Employed - Full time,120000,120000,USD,"$120,000","$120,000",FALSE,,USD,,,,"$120,000","$120,000",FALSE,,120000,85000,,,,,,,,FALSE,,Small / Medium-sized Business (greater than 50 but less than 200),Medium-Sized Business (50-200),Software,Software,1,USA,Los Angeles,CA,,33.973951,-118.248405,"33.973951,-118.248405",,"Los Angeles-Long Beach-Anaheim, CA",United States,FALSE,USA,,33.6846,-117.8265,"33.6846,-117.8265","Los Angeles-Long Beach-Anaheim, CA",United States,Man,TRUE
187,Bachelor's Degree,Between 6 and 10 years,Director of UX Research,Employed - Full time,185000,185000,USD,"$185,000","$185,000",FALSE,,USD,,101.6,101.6,"$182,087","$182,087",TRUE,50000,185000,155000,,,,,,,,FALSE,,"Small business <50 people, but not a startup (we're profitable already)",Small Business (<50),Software,Software,1,USA,Apex,NC,,35.712397,-78.915514,"35.712397,-78.915514",,"Raleigh-Cary, NC",United States,FALSE,USA,,37.776646,-122.417481,"37.776646,-122.417481","San Francisco-Oakland-Berkeley, CA",United States,Woman,TRUE
188,"Doctorate (e.g., PhD, EdD)",Between 1 and 3 years,UX Researcher,Employed - Full time,110000,125000,USD,"$110,000","$125,000",TRUE,53,USD,,,,"$110,000","$125,000",,,110000,110000,,,,,,,,TRUE,15000,Large Enterprise (201+),Large Enterprise (201+),Gaming,Leisure & Hospitality,1,USA,Laguna Niguel,CA,,33.640302,-117.769442,"33.640302,-117.769442",,"Los Angeles-Long Beach-Anaheim, CA",United States,FALSE,USA,,33.6846,-117.8265,"33.6846,-117.8265","Los Angeles-Long Beach-Anaheim, CA",United States,Woman,TRUE
189,Master's Degree,Between 6 and 10 years,UX Research Manager,Employed - Full time,165000,165000,USD,"$165,000","$165,000",FALSE,,USD,,,,"$165,000","$165,000",TRUE,133700,165000,130000,,,,,,,,FALSE,,Large Enterprise (201+),Large Enterprise (201+),Software,Software,15+,USA,Burlingame,CA,,37.567086,-122.367573,"37.567086,-122.367573",,"San Francisco-Oakland-Berkeley, CA",United States,FALSE,USA,,37.776646,-122.417481,"37.776646,-122.417481","San Francisco-Oakland-Berkeley, CA",United States,Woman,TRUE
191,Master's Degree,More than 10 years,UX Research Manager,Employed - Full time,150000,165000,USD,"$150,000","$165,000",FALSE,,USD,,131,131,"$114,504","$125,954",FALSE,,150000,145000,,,,,,,,TRUE,15000,Large Enterprise (201+),Large Enterprise (201+),Finance,Finance & Insurance,15+,USA,West Orange,NJ,,40.789944,-74.22719,"40.789944,-74.22719",,"New York-Newark-Jersey City, NY-NJ-PA",United States,FALSE,USA,,40.750422,-73.996328,"40.750422,-73.996328","New York-Newark-Jersey City, NY-NJ-PA",United States,,FALSE
192,Bachelor's Degree,Between 6 and 10 years,UX Researcher,Employed - Full time,142000,171400,USD,"$142,000","$171,400",FALSE,,USD,,131,131,"$108,397","$130,840",TRUE,114000,142000,122008,,,,,,,,TRUE,29400,Large Enterprise (201+),Large Enterprise (201+),Software,Software,15+,USA,Brooklyn,NY,,40.645099,-73.945032,"40.645099,-73.945032",,"New York-Newark-Jersey City, NY-NJ-PA",United States,FALSE,USA,,40.750422,-73.996328,"40.750422,-73.996328","New York-Newark-Jersey City, NY-NJ-PA",United States,Man,TRUE
193,Master's Degree,Between 3 and 6 years,Director of UX Research,Employed - Full time,256000,256000,USD,"$256,000","$256,000",FALSE,,USD,,131,131,"$195,420","$195,420",FALSE,,256000,256000,,,,,,,,FALSE,,Small / Medium-sized Business (greater than 50 but less than 200),Medium-Sized Business (50-200),Consulting,Professional & Business Services,2 to 4,USA,"East Rutherford, NJ",,,40.828399,-74.093886,"40.828399,-74.093886",,"New York-Newark-Jersey City, NY-NJ-PA",United States,FALSE,USA,,40.828399,-74.093886,"40.828399,-74.093886","New York-Newark-Jersey City, NY-NJ-PA",United States,Man,TRUE
194,"Doctorate (e.g., PhD, EdD)",Between 6 and 10 years,Senior UX Researcher,Employed - Full time,102600,104600,USD,"$102,600","$104,600",FALSE,,USD,,135.3,135.3,"$75,831","$77,310",FALSE,,102600,95000,,,,,,,,TRUE,2000,Large Enterprise (201+),Large Enterprise (201+),Public Services,Utilities & Public Services,15+,USA,Boston,MA,,42.370567,-71.026964,"42.370567,-71.026964",,"Boston-Cambridge-Newton, MA-NH",United States,FALSE,USA,,38.911936,-77.016719,"38.911936,-77.016719","Washington-Arlington-Alexandria, DC-VA-MD-WV",United States,Woman,TRUE
195,Master's Degree,Between 6 and 10 years,Senior UX Researcher,Employed - Full time,122000,122000,USD,"$122,000","$122,000",FALSE,,USD,,135.3,135.3,"$90,170","$90,170",FALSE,,122000,122000,,,,,,,,FALSE,,Large Enterprise (201+),Large Enterprise (201+),Biotech,Biotechnology,5 to 9,USA,Boston,MA,,42.370567,-71.026964,"42.370567,-71.026964",,"Boston-Cambridge-Newton, MA-NH",United States,FALSE,USA,,42.147087,-71.528085,"42.147087,-71.528085","Worcester, MA-CT",United States,Woman,TRUE
196,"Doctorate (e.g., PhD, EdD)",Between 6 and 10 years,UX Research Lead,Unemployed,170000,170000,USD,"$170,000","$170,000",FALSE,,USD,,,,"$170,000","$170,000",TRUE,20000,170000,170000,,,,,,,,FALSE,,Large Enterprise (201+),Large Enterprise (201+),Software,Software,5 to 9,USA,San Francisco,CA,,37.776646,-122.417481,"37.776646,-122.417481",,"San Francisco-Oakland-Berkeley, CA",United States,FALSE,USA,TRUE,37.0902,-95.7129,"37.0902,-95.7129","Coffeyville, KS",United States,Woman,TRUE
197,Master's Degree,Less than 1 year,UX Researcher,Unemployed,95000,95000,USD,"$95,000","$95,000",FALSE,,USD,,,,"$95,000","$95,000",FALSE,,95000,60000,,,,,,,,FALSE,,Small / Medium-sized Business (greater than 50 but less than 200),Medium-Sized Business (50-200),AI,Telecommunications,1,USA,San Francisco,California,,37.776646,-122.417481,"37.776646,-122.417481",,"San Francisco-Oakland-Berkeley, CA",United States,FALSE,USA,,30.326374,-97.771258,"30.326374,-97.771258","Austin-Round Rock-Georgetown, TX",United States,Man,TRUE
198,Master's Degree,Between 6 and 10 years,UX Research Lead,Employed - Full time,180000,180000,USD,"$180,000","$180,000",FALSE,,USD,,,,"$180,000","$180,000",TRUE,15000,180000,175000,,,,,,,,FALSE,,Small / Medium-sized Business (greater than 50 but less than 200),Medium-Sized Business (50-200),Social Media,"Arts, Entertainment, and Recreation",2 to 4,USA,Burlingame,CA,,37.567086,-122.367573,"37.567086,-122.367573",,"San Francisco-Oakland-Berkeley, CA",United States,FALSE,USA,,37.776646,-122.417481,"37.776646,-122.417481","San Francisco-Oakland-Berkeley, CA",United States,Woman,TRUE
